"RecordId","OnePerId","OnePerFlag","OrgFlag","GroupFlag","EBDFFlag","MasterRecordId"
"0000398567","0000398567","TRUE","","","TRUE","MA04895387"
"0000398678","0000398678","TRUE","","","TRUE","MA04143887"
"0000398689","0000398689","TRUE","","","TRUE","MR00309722"
"0000398714","0000398714","TRUE","","","TRUE","MA04843760"
"0000398751","0000398751","TRUE","","","TRUE","MA05190506"
"0000398767","0000398767","TRUE","","","TRUE","MA04490735"
"0000398781","0000398781","TRUE","","","TRUE","MA04839658"
"0000398808","0000398808","TRUE","","","TRUE","MA04382171"
"0000398830","0000398830","TRUE","","","TRUE","MA04277899"
"0000398832","0000398832","TRUE","","","TRUE","MA04542984"
"0000398839","0000398839","TRUE","","","TRUE","MA04499329"
"0000398892","0000398892","TRUE","","","TRUE","MA04891882"
"0000398912","0000398912","TRUE","","","TRUE","MA04890728"
"0000398941","0000398941","TRUE","","","TRUE","MA04752366"
"0000398947","0000398947","TRUE","","","TRUE","MA04953262"
"0000398948","0000398948","TRUE","","","TRUE","MA04496193"
"0000398958","0000398958","TRUE","","","TRUE","MA04953188"
"0000398977","0000398977","TRUE","","","TRUE","MA05040598"
"0000398978","0000398978","TRUE","","","TRUE","MA04186439"
"0000398981","0000398981","TRUE","","","TRUE","MA05193000"
"0000399056","0000399056","TRUE","","","TRUE","MA04895099"
"0000399063","0000399063","TRUE","","","TRUE","MA04894551"
"0000399083","0000399083","TRUE","","","TRUE","MA04408161"
"0000399102","0000399102","TRUE","","","TRUE","MA04827147"
"0000399112","0000399112","TRUE","","","TRUE","MA04494232"
"0000399125","0000399125","TRUE","","","TRUE","MA04102132"
"0000399127","0000399127","TRUE","","","TRUE","MA04796441"
"0000399128","0000399128","TRUE","","","TRUE","MA04545954"
"0000399146","0000399146","TRUE","","","TRUE","MA05025136"
"0000399162","0000399162","TRUE","","","TRUE","MA04063595"
"0000399163","0000399163","TRUE","","","TRUE","MA04377601"
"0000399175","0000399175","TRUE","","","TRUE","MA04455859"
"0000399178","0000399178","TRUE","","","TRUE","MA04891510"
"0000399223","0000399223","TRUE","","","TRUE","MA04851137"
"0000399238","0000399238","TRUE","","","TRUE","MA04824406"
"0000399243","0000399243","TRUE","","","TRUE","MA05039570"
"0000399279","0000399279","TRUE","","","TRUE","MA04923661"
"0000399294","0000399294","TRUE","","","TRUE","MA04115844"
"0000399304","0000399304","TRUE","","","TRUE","MA04500044"
"0000399317","0000399317","TRUE","","","TRUE","MA04185455"
"0000399333","0000399333","TRUE","","","TRUE","MA04892169"
"0000399337","0000399337","TRUE","","","TRUE","MA04519595"
"0000399347","0000399347","TRUE","","","TRUE","MA04228598"
"0000399349","0000399349","TRUE","","","TRUE","MA04517881"
"0000426334","0000426334","TRUE","","","TRUE","MA04109001"
"0000441482","0000441482","TRUE","","","","MA05447937"
"0000443344","0000443344","TRUE","","","TRUE","MA04845752"
"0000443353","0000443353","TRUE","","","TRUE","MA04892942"
"0000443354","0000443354","TRUE","","","TRUE","MA04893652"
"0000443404","0000443404","TRUE","","","TRUE","MA04894046"
"0000443450","0000443450","TRUE","","","TRUE","MA04457314"
"0000443462","0000443462","TRUE","","","TRUE","MA04139429"
"0000443473","0000443473","TRUE","","","TRUE","MA04836694"
"0000443490","0000443490","TRUE","","","TRUE","N0004ABEOT"
"0000443507","0000443507","TRUE","","","TRUE","MA04248469"
"0000443509","0000443509","TRUE","","","TRUE","MA04305876"
"0000443512","0000443512","TRUE","","","TRUE","MR10197716"
"0000443527","0000443527","TRUE","","","TRUE","MA04250965"
"0000443544","0000443544","TRUE","","","TRUE","MA04080237"
"0000443557","0000443557","TRUE","","","TRUE","MR05117937"
"0000443558","0000443558","TRUE","","","TRUE","MA05075970"
"0000443567","0000443567","TRUE","","","TRUE","MA04080337"
"0000443573","0000443573","TRUE","","","TRUE","MA04357742"
"0000443614","0000443614","TRUE","","","TRUE","MA05080098"
"0000443628","0000443628","TRUE","","","TRUE","MA04254643"
"0000443675","0000443675","TRUE","","","TRUE","MA04779311"
"0000443684","0000443684","TRUE","","","TRUE","MA04424773"
"0000443688","0000443688","TRUE","","","TRUE","MR04664815"
"0000443731","0000443731","TRUE","","","TRUE","N00018LABC"
"0000443749","0000443749","TRUE","","","TRUE","MA05043223"
"0000443752","0000443752","TRUE","","","TRUE","MA04831844"
"0000443770","0000443770","TRUE","","","TRUE","MA05046791"
"0000443771","0000443771","TRUE","","","TRUE","MA05046520"
"0000443776","0000443776","TRUE","","","TRUE","MA04255992"
"0000443791","0000443791","TRUE","","","TRUE","MA04836956"
"0000443852","0000443852","TRUE","","","TRUE","MA05043998"
"0000443862","0000443862","TRUE","","","TRUE","MA04898256"
"0000443888","0000443888","TRUE","","","TRUE","MA04848733"
"0000443904","0000443904","TRUE","","","TRUE","MA04870549"
"0000443905","0000443905","TRUE","","","TRUE","MA04254724"
"0000443914","0000443914","TRUE","","","TRUE","MF03395001"
"0000443932","0000443932","TRUE","","","TRUE","MA04895175"
"0000443948","0000443948","TRUE","","","TRUE","MR35717169"
"0000443953","0000443953","TRUE","","","TRUE","MA04845732"
"0000443955","0000443955","TRUE","","","TRUE","MA04895446"
"0000443970","0000443970","TRUE","","","TRUE","MA04312249"
"0000443971","0000443971","TRUE","","","TRUE","MF11729070"
"0000444025","0000444025","TRUE","","","TRUE","MA04831647"
"0000444028","0000444028","TRUE","","","TRUE","MA04833256"
"0000444038","0000444038","TRUE","","","TRUE","MA04873462"
"0000444039","0000444039","TRUE","","","","MA04254906"
"0000444040","0000444040","TRUE","","","TRUE","MA04988368"
"0000444093","0000444093","TRUE","","","TRUE","MB15410144"
"0000444103","0000444103","TRUE","","","TRUE","MA04743220"
"0000444107","0000444107","TRUE","","","TRUE","MA04401928"
"0000444110","0000444110","TRUE","","","TRUE","MA04830749"
"0000444131","0000444131","TRUE","","","","MA04141347"
